Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1839-03-17,Black Heath,Richmond,VA,53,Coal,Explosion,UG,Coal
1844-06-14,Black Heath,Richmond,VA,11,Coal,Explosion,UG,Coal
1846-01-11,No. 1,Carbondale,PA,14,Coal,Cave-in,UG,Coal
1847-02-18,Spencer,Pottsville,PA,7,Coal,Explosion,UG,Coal
1850-11-29,"Cox's Pit, Clover Hill",Winterpock,VA,7,Coal,Explosion,UG,Coal
1854-05-14,Chesterfield,New Richmond,VA,20,Coal,Explosion,UG,Coal
1855-03-18,Midlothian,Coalfield,VA,55,Coal,Explosion,UG,Coal
1859-04-12,Bright Hope,Winterpock,VA,9,Coal,Explosion,UG,Coal
1863-11-29,"Raccoon, Clover Hill",Winterpock,VA,17,Coal,Explosion,UG,Coal
1867-04-02,Bright Hope,Winterpock,VA,69,Coal,Explosion,UG,Coal
1869-04-06,Kentucky-Yellow Jacket,Gold Hill,NV,37,Gold,Fire in timbers,UG,Metal
1869-09-05,Avondale,Plymouth,PA,110,Coal,Fire,UG,Coal
1870-03-21,Potts,Locustdale,PA,5,Coal,Explosion,UG,Coal
1870-08-09,Heins & Glassmire,Middleport,PA,9,Coal,Cage fall (shaft),UG,Coal
1870-08-28,Preston No. 3,Girardville,PA,7,Coal,Cage fall (shaft),UG,Coal
1871-05-26,West Pittston,West Pittston,PA,20,Coal,Smoke,UG,Coal
1871-08-13,Eagle Shaft,Pittston,PA,17,Coal,Explosion,UG,Coal
1871-10-01,Otto Red Ash,Branch Dale,PA,5,Coal,Explosion,UG,Coal
1872-07-02,Atwater Slope,Atwater Township,OH,10,Coal,Fire,UG,Coal
1873-06-09,Henry Clay,Shamokin,PA,10,Coal,Fire,UG ,Coal
1873-09-19,Yellow Jacket,Gold Hill,NV,6,Gold,Fire blacksmith forge,UG,Metal
1874-02-12,Phoenix,Phoenix,MI,6,Copper,Explosion of dynamite,Surface,Metal
1874-05-29,Amador,Amador,CA,5,Gold,Cage fell to bottom,UG,Metal
1876-05-19,Midlothian,Coalfield,VA,8,Coal,Fire,UG,Coal
1876-07-23,Black Diamond,Nortonville,CA,6,Coal,Fire,UG,Coal
1877-05-08,Wadesville,Wadesville,PA,7,Coal,Explosion,UG,Coal
1877-07-10,Brookfield,Brookfield,OH,7,Coal,Suffocation,UG,Coal
1878-01-14,Potts,Locust Dale,PA,5,Coal,Explosion,UG,Coal
1878-11-20,Sullivan,Sullivan,IN,8,Coal,Explosion,UG,Coal
1879-05-05,Audenried,Audenried,PA,6,Coal,Explosion,UG,Coal
1879-10-02,Tioga,Bodie,CA,6,Gold,Cage accident,UG,Metal
1879-11-01,Mill Creek,Mill Creek,PA,5,Coal,Explosion,UG,Coal
1880-03-04,No. 2 Shaft,Nanticoke,PA,6,Coal,Explosion,UG,Coal
1880-05-02,Lykens Valley,Shamokin,PA,5,Coal,Explosion,UG,Coal
1881-02-09,Robbins,Robbins,OH,6,Coal,Explosion,UG,Coal
1881-02-15,Belmont,Belmont,MT,6,Copper,Fire from blacksmith,UG ,Metal
1881-03-03,Almy,Almy,WY,38,Coal,Explosion,UG,Coal
1882-02-02,Midlothian,Coalfield,VA,32,Coal,Explosion,UG,Coal
1882-05-23,Kohinoor,Shenandoah,PA,5,Coal,Explosion,UG,Coal
1883-01-08,Coulterville,Coulterville,IL,10,Coal,Explosion,UG,Coal
1883-02-15,Diamond,Braidwood,IL,69,Coal,Inrush of water,UG,Coal
